Timestamp,Is holiday,Real temperature,Feels like temperature,Humidity,Speed of wind,PM25 pollution,Atmospheric CO2,Weather type,No. of shared scooter rides
2015-02-19 23:00:00,0,8.0°C,,,14.0 km/h,7.71 μg/m3,404.16ppm,Rain,206
2015-02-20 0:00:00,0,8.0°C,6.0°C,87.00%,13.0 km/h,7.01 μg/m3,403.29ppm,Rain,134
2015-02-20 1:00:00,0,8.0°C,5.5°C,87.00%,14.0 km/h,6.61 μg/m3,407.76ppm,Rain,75
2015-02-20 2:00:00,0,7.5°C,5.5°C,93.00%,10.0 km/h,6.38 μg/m3,407.48ppm,Rain,34
2015-02-20 3:00:00,0,7.5°C,4.5°C,90.00%,16.0 km/h,6.61 μg/m3,405.08ppm,Rain,32
2015-02-20 4:00:00,0,7.5°C,5.0°C,90.00%,15.0 km/h,9.44 μg/m3,405.72ppm,Rain,29
2015-02-20 5:00:00,0,7.0°C,5.0°C,93.00%,13.0 km/h,9.55 μg/m3,401.37ppm,Rain,76
2015-02-20 6:00:00,0,,4.0°C,81.00%,16.0 km/h,5.95 μg/m3,402.75ppm,Broken clouds,398
2015-02-20 7:00:00,0,6.5°C,4.5°C,84.00%,9.0 km/h,9.05 μg/m3,404.07ppm,Scattered clouds,1333
2015-02-20 8:00:00,0,6.0°C,5.0°C,87.00%,5.5 km/h,6.17 μg/m3,402.88ppm,Scattered clouds,3051
2015-02-20 9:00:00,0,7.0°C,7.0°C,81.00%,2.0 km/h,9.15 μg/m3,407.01ppm,Scattered clouds,1631
2015-02-20 10:00:00,0,7.0°C,7.0°C,76.00%,2.0 km/h,8.13 μg/m3,403.75ppm,Scattered clouds,776
2015-02-20 11:00:00,0,7.0°C,7.0°C,76.00%,2.0 km/h,7.22 μg/m3,402.58ppm,Scattered clouds,800
2015-02-20 12:00:00,0,,6.5°C,76.00%,3.0 km/h,8.67 μg/m3,409.0ppm,Scattered clouds,994
2015-02-20 13:00:00,0,7.0°C,5.0°C,76.00%,9.0 km/h,10.02 μg/m3,408.69ppm,Scattered clouds,1011
2015-02-20 14:00:00,0,7.0°C,5.0°C,76.00%,11.0 km/h,5.19 μg/m3,406.47ppm,Broken clouds,927
2015-02-20 15:00:00,0,7.0°C,5.0°C,76.00%,12.0 km/h,9.71 μg/m3,401.12ppm,Scattered clouds,1002
2015-02-20 16:00:00,0,7.0°C,5.0°C,73.50%,11.0 km/h,6.81 μg/m3,407.95ppm,Scattered clouds,1293
2015-02-20 17:00:00,0,7.0°C,5.0°C,71.00%,9.0 km/h,10.14 μg/m3,407.88ppm,Scattered clouds,2241
2015-02-20 18:00:00,0,6.0°C,4.0°C,76.00%,7.0 km/h,9.3 μg/m3,401.54ppm,Scattered clouds,1825
2015-02-20 19:00:00,0,5.5°C,3.5°C,78.50%,8.0 km/h,6.32 μg/m3,400.47ppm,Scattered clouds,1102
2015-02-20 20:00:00,0,5.0°C,3.0°C,81.00%,8.5 km/h,7.13 μg/m3,403.89ppm,Clear,676
2015-02-20 21:00:00,0,5.0°C,2.5°C,81.00%,10.0 km/h,8.72 μg/m3,405.73ppm,Scattered clouds,478
2015-02-20 22:00:00,0,5.0°C,2.5°C,81.00%,9.0 km/h,9.42 μg/m3,407.85ppm,Broken clouds,407
2015-02-20 23:00:00,0,5.0°C,2.5°C,81.00%,11.0 km/h,8.71 μg/m3,401.23ppm,Cloudy,390
2015-02-21 0:00:00,0,4.0°C,,87.00%,11.0 km/h,8.59 μg/m3,408.62ppm,Scattered clouds,291
2015-02-21 1:00:00,0,4.0°C,1.0°C,87.00%,14.0 km/h,7.04 μg/m3,401.65ppm,Clear,237
2015-02-21 2:00:00,0,,1.0°C,87.00%,15.0 km/h,8.05 μg/m3,406.73ppm,Scattered clouds,181
2015-02-21 3:00:00,0,4.0°C,1.0°C,87.00%,14.0 km/h,7.89 μg/m3,404.94ppm,Rain,142
2015-02-21 4:00:00,0,4.0°C,,84.00%,15.0 km/h,5.75 μg/m3,407.51ppm,Broken clouds,104
2015-02-21 5:00:00,0,,1.0°C,,14.0 km/h,8.5 μg/m3,405.75ppm,Rain,66
2015-02-21 6:00:00,0,,0.5°C,87.00%,,7.45 μg/m3,404.87ppm,Rain,67
2015-02-21 7:00:00,0,,0.0°C,93.00%,9.0 km/h,10.06 μg/m3,406.36ppm,Rain,137
2015-02-21 8:00:00,0,4.0°C,1.0°C,87.00%,15.0 km/h,9.75 μg/m3,403.42ppm,Broken clouds,352
2015-02-21 9:00:00,0,4.5°C,0.5°C,84.00%,19.0 km/h,8.28 μg/m3,404.76ppm,Scattered clouds,595
2015-02-21 10:00:00,0,,1.5°C,81.00%,18.5 km/h,9.66 μg/m3,402.31ppm,Scattered clouds,918
2015-02-21 11:00:00,0,5.5°C,1.5°C,73.50%,21.5 km/h,8.92 μg/m3,406.46ppm,Scattered clouds,1324
2015-02-21 12:00:00,0,6.0°C,2.5°C,66.00%,19.5 km/h,7.97 μg/m3,407.35ppm,Cloudy,1386
2015-02-21 13:00:00,0,6.0°C,2.5°C,68.50%,19.5 km/h,5.88 μg/m3,405.91ppm,Broken clouds,1530
2015-02-21 14:00:00,0,6.5°C,3.5°C,61.00%,17.0 km/h,7.76 μg/m3,405.44ppm,Broken clouds,1526
2015-02-21 15:00:00,0,7.0°C,3.5°C,59.00%,22.5 km/h,7.5 μg/m3,404.4ppm,Broken clouds,1445
2015-02-21 16:00:00,0,6.5°C,2.5°C,59.00%,22.0 km/h,7.83 μg/m3,409.81ppm,Rain,1522
2015-02-21 17:00:00,0,6.5°C,4.5°C,63.50%,10.0 km/h,7.66 μg/m3,404.93ppm,Scattered clouds,1266
2015-02-21 18:00:00,0,5.5°C,2.5°C,65.50%,18.0 km/h,9.66 μg/m3,401.87ppm,Scattered clouds,876
2015-02-21 19:00:00,0,,2.0°C,70.00%,17.0 km/h,9.82 μg/m3,406.13ppm,Clear,629
2015-02-21 20:00:00,0,5.0°C,1.5°C,70.00%,17.0 km/h,7.27 μg/m3,405.11ppm,Clear,536
2015-02-21 21:00:00,0,4.0°C,1.0°C,75.00%,15.0 km/h,6.01 μg/m3,409.15ppm,Clear,414
2015-02-21 22:00:00,0,4.0°C,1.0°C,75.00%,13.0 km/h,6.54 μg/m3,404.97ppm,Clear,351
2015-02-21 23:00:00,0,4.0°C,1.0°C,75.00%,15.0 km/h,9.86 μg/m3,402.29ppm,Clear,303
2015-02-22 0:00:00,0,2.5°C,-0.5°C,,10.0 km/h,9.44 μg/m3,408.39ppm,Clear,324
2015-02-22 1:00:00,0,2.0°C,-1.0°C,87.00%,,6.29 μg/m3,405.6ppm,Clear,228
2015-02-22 2:00:00,0,1.5°C,-2.5°C,87.00%,14.0 km/h,5.8 μg/m3,403.86ppm,Clear,170
2015-02-22 3:00:00,0,1.0°C,-3.0°C,87.00%,14.0 km/h,7.11 μg/m3,409.52ppm,Clear,158
2015-02-22 4:00:00,0,1.0°C,-2.0°C,87.00%,11.0 km/h,10.69 μg/m3,404.94ppm,Clear,80
2015-02-22 5:00:00,0,1.0°C,,87.00%,12.0 km/h,8.63 μg/m3,403.89ppm,Clear,72
2015-02-22 6:00:00,0,1.0°C,-2.0°C,87.00%,11.0 km/h,7.65 μg/m3,406.91ppm,Clear,95
2015-02-22 7:00:00,0,1.5°C,-1.5°C,84.00%,9.0 km/h,7.81 μg/m3,406.92ppm,Clear,106
2015-02-22 8:00:00,0,,1.0°C,78.00%,8.5 km/h,5.18 μg/m3,406.84ppm,Clear,264
2015-02-22 9:00:00,0,4.5°C,1.5°C,72.50%,13.0 km/h,7.56 μg/m3,407.69ppm,Clear,587
2015-02-22 10:00:00,0,5.5°C,1.5°C,70.50%,19.5 km/h,9.86 μg/m3,401.2ppm,Clear,871
2015-02-22 11:00:00,0,7.0°C,3.0°C,66.00%,22.0 km/h,7.41 μg/m3,406.67ppm,Scattered clouds,1140
2015-02-22 12:00:00,0,8.0°C,4.0°C,62.00%,25.0 km/h,7.63 μg/m3,405.16ppm,Scattered clouds,1294
2015-02-22 13:00:00,0,8.0°C,,62.00%,28.0 km/h,8.49 μg/m3,405.27ppm,Broken clouds,1164
2015-02-22 14:00:00,0,7.5°C,3.0°C,71.00%,32.0 km/h,6.31 μg/m3,403.99ppm,Rain,677
2015-02-22 15:00:00,0,6.0°C,1.5°C,84.00%,28.5 km/h,8.5 μg/m3,404.16ppm,Rain,240
2015-02-22 16:00:00,0,5.5°C,,84.00%,29.0 km/h,6.76 μg/m3,404.51ppm,Rain,237
2015-02-22 17:00:00,0,5.5°C,0.5°C,87.00%,29.0 km/h,7.25 μg/m3,405.27ppm,Rain,195
2015-02-22 18:00:00,0,6.5°C,1.5°C,,33.5 km/h,7.43 μg/m3,400.61ppm,Rain,255
2015-02-22 19:00:00,0,7.0°C,,87.00%,33.0 km/h,7.43 μg/m3,406.44ppm,Rain,285
2015-02-22 20:00:00,0,8.0°C,4.0°C,87.00%,30.5 km/h,8.15 μg/m3,406.96ppm,Rain,183
2015-02-22 21:00:00,0,9.0°C,5.0°C,87.00%,,7.89 μg/m3,405.94ppm,Rain,159
2015-02-22 22:00:00,0,10.0°C,7.0°C,88.00%,27.0 km/h,7.73 μg/m3,406.18ppm,Cloudy,162
2015-02-22 23:00:00,0,10.5°C,9.0°C,79.00%,30.0 km/h,8.18 μg/m3,406.93ppm,Scattered clouds,140
2015-02-23 0:00:00,0,9.5°C,5.5°C,71.00%,32.0 km/h,6.64 μg/m3,405.47ppm,Scattered clouds,91
2015-02-23 1:00:00,0,9.0°C,5.5°C,71.00%,25.0 km/h,4.76 μg/m3,409.37ppm,Broken clouds,36
2015-02-23 2:00:00,0,8.0°C,4.5°C,71.00%,23.0 km/h,7.99 μg/m3,405.01ppm,Rain,19
2015-02-23 3:00:00,0,7.0°C,4.0°C,78.50%,,6.97 μg/m3,406.95ppm,Clear,22
2015-02-23 4:00:00,0,6.5°C,4.0°C,73.50%,14.0 km/h,8.68 μg/m3,403.21ppm,Clear,23
2015-02-23 5:00:00,0,6.0°C,3.0°C,76.00%,14.0 km/h,7.17 μg/m3,404.73ppm,Rain,94
2015-02-23 6:00:00,0,,3.0°C,76.00%,16.0 km/h,5.15 μg/m3,407.22ppm,Clear,503
2015-02-23 7:00:00,0,,2.0°C,73.50%,20.0 km/h,7.82 μg/m3,404.67ppm,Scattered clouds,1682
2015-02-23 8:00:00,0,6.5°C,2.5°C,73.50%,21.0 km/h,9.58 μg/m3,403.88ppm,Clear,3618
2015-02-23 9:00:00,0,7.0°C,3.0°C,63.50%,29.0 km/h,8.47 μg/m3,405.69ppm,Scattered clouds,1760
2015-02-23 10:00:00,0,7.5°C,3.5°C,64.00%,26.0 km/h,5.87 μg/m3,405.09ppm,Scattered clouds,746
2015-02-23 11:00:00,0,8.5°C,4.5°C,60.00%,28.0 km/h,7.06 μg/m3,403.14ppm,Scattered clouds,616
2015-02-23 12:00:00,0,8.5°C,4.5°C,53.50%,29.5 km/h,7.25 μg/m3,404.23ppm,Scattered clouds,776
2015-02-23 13:00:00,0,8.5°C,4.5°C,54.00%,34.0 km/h,7.72 μg/m3,405.44ppm,Rain,771
2015-02-23 14:00:00,0,8.5°C,4.5°C,49.50%,30.5 km/h,7.12 μg/m3,400.15ppm,Scattered clouds,686
2015-02-23 15:00:00,0,7.0°C,3.0°C,63.50%,28.5 km/h,5.37 μg/m3,405.09ppm,Scattered clouds,803
2015-02-23 16:00:00,0,7.0°C,2.0°C,55.00%,38.0 km/h,7.79 μg/m3,403.19ppm,Scattered clouds,1272
2015-02-23 17:00:00,0,6.0°C,1.0°C,63.50%,32.5 km/h,10.15 μg/m3,404.48ppm,Scattered clouds,2626
2015-02-23 18:00:00,0,6.0°C,2.0°C,61.00%,23.0 km/h,7.02 μg/m3,402.46ppm,Clear,2470
2015-02-23 19:00:00,0,5.0°C,1.0°C,70.00%,21.5 km/h,6.13 μg/m3,404.28ppm,Scattered clouds,1332
2015-02-23 20:00:00,0,5.0°C,0.5°C,70.00%,25.0 km/h,10.14 μg/m3,408.59ppm,Clear,794
2015-02-23 21:00:00,0,,1.0°C,66.00%,30.0 km/h,10.88 μg/m3,402.96ppm,Clear,539
2015-02-23 22:00:00,0,,1.0°C,68.50%,30.5 km/h,7.39 μg/m3,403.66ppm,Scattered clouds,324
2015-02-23 23:00:00,0,5.5°C,,78.50%,31.5 km/h,8.36 μg/m3,404.25ppm,Rain,161
2015-02-24 0:00:00,0,6.0°C,1.5°C,76.00%,29.0 km/h,8.33 μg/m3,400.73ppm,Broken clouds,105
2015-02-24 1:00:00,0,6.5°C,2.5°C,71.00%,29.5 km/h,9.33 μg/m3,401.51ppm,Scattered clouds,47
2015-02-24 2:00:00,0,6.0°C,1.0°C,76.00%,33.0 km/h,6.32 μg/m3,406.08ppm,Rain,27
2015-02-24 3:00:00,0,6.0°C,1.0°C,76.00%,32.0 km/h,7.96 μg/m3,403.79ppm,Scattered clouds,16
2015-02-24 4:00:00,0,6.0°C,1.0°C,76.00%,31.5 km/h,6.37 μg/m3,408.57ppm,Rain,29
2015-02-24 5:00:00,0,5.0°C,1.0°C,81.00%,23.0 km/h,8.52 μg/m3,403.1ppm,Scattered clouds,98
2015-02-24 6:00:00,0,5.0°C,1.0°C,81.00%,20.5 km/h,10.27 μg/m3,408.69ppm,Scattered clouds,559
2015-02-24 7:00:00,0,,1.0°C,81.00%,22.0 km/h,8.5 μg/m3,401.47ppm,Clear,1998
2015-02-24 8:00:00,0,6.0°C,2.0°C,76.00%,,6.73 μg/m3,404.65ppm,Clear,3841
2015-02-24 9:00:00,0,7.5°C,3.5°C,71.00%,23.0 km/h,9.49 μg/m3,403.18ppm,Clear,1819
2015-02-24 10:00:00,0,9.5°C,5.5°C,60.00%,32.0 km/h,7.08 μg/m3,406.5ppm,Scattered clouds,830
2015-02-24 11:00:00,0,9.0°C,5.0°C,62.00%,31.0 km/h,8.71 μg/m3,403.66ppm,Scattered clouds,725
2015-02-24 12:00:00,0,9.0°C,5.0°C,,32.0 km/h,6.84 μg/m3,403.89ppm,Broken clouds,882
2015-02-24 13:00:00,0,,,56.00%,31.0 km/h,6.01 μg/m3,404.76ppm,Broken clouds,946
2015-02-24 14:00:00,0,9.0°C,5.5°C,56.00%,28.5 km/h,6.86 μg/m3,410.09ppm,Scattered clouds,781
2015-02-24 15:00:00,0,9.5°C,5.5°C,46.50%,39.0 km/h,3.95 μg/m3,407.73ppm,Broken clouds,914
2015-02-24 16:00:00,0,9.0°C,5.0°C,44.50%,34.5 km/h,6.37 μg/m3,404.04ppm,Scattered clouds,1353
2015-02-24 17:00:00,0,8.5°C,4.5°C,48.00%,27.5 km/h,11.21 μg/m3,403.04ppm,Scattered clouds,2641
2015-02-24 18:00:00,0,8.0°C,4.0°C,51.50%,25.0 km/h,3.77 μg/m3,403.2ppm,Clear,2522
2015-02-24 19:00:00,0,7.5°C,4.5°C,59.00%,20.0 km/h,5.64 μg/m3,402.75ppm,Broken clouds,1392
2015-02-24 20:00:00,0,7.0°C,3.0°C,,22.0 km/h,10.61 μg/m3,407.03ppm,Scattered clouds,840
2015-02-24 21:00:00,0,,3.0°C,68.50%,20.5 km/h,6.56 μg/m3,403.48ppm,Scattered clouds,605
2015-02-24 22:00:00,0,6.0°C,,73.50%,23.0 km/h,7.4 μg/m3,407.38ppm,Clear,434
2015-02-24 23:00:00,0,6.0°C,,73.50%,18.5 km/h,7.98 μg/m3,407.37ppm,Clear,284
2015-02-25 0:00:00,0,6.0°C,,76.00%,15.0 km/h,5.53 μg/m3,404.66ppm,Broken clouds,162
2015-02-25 1:00:00,0,6.0°C,,78.50%,11.0 km/h,9.57 μg/m3,401.99ppm,Scattered clouds,69
2015-02-25 2:00:00,0,7.0°C,5.0°C,78.50%,13.0 km/h,7.82 μg/m3,406.53ppm,Scattered clouds,58
2015-02-25 3:00:00,0,7.0°C,4.5°C,81.00%,14.0 km/h,7.05 μg/m3,402.46ppm,Scattered clouds,34
2015-02-25 4:00:00,0,,5.5°C,81.00%,9.0 km/h,9.42 μg/m3,404.99ppm,Rain,31
2015-02-25 5:00:00,0,7.0°C,5.5°C,87.00%,9.0 km/h,6.0 μg/m3,408.0ppm,Rain,70
2015-02-25 6:00:00,0,7.0°C,,93.00%,9.0 km/h,8.06 μg/m3,400.13ppm,Rain,341
2015-02-25 7:00:00,0,7.5°C,,90.00%,11.0 km/h,6.48 μg/m3,404.42ppm,Rain,1120
2015-02-25 8:00:00,0,8.0°C,5.0°C,90.00%,15.0 km/h,6.12 μg/m3,403.68ppm,Rain,2617
2015-02-25 9:00:00,0,8.5°C,6.5°C,90.00%,14.0 km/h,11.0 μg/m3,404.05ppm,Broken clouds,1443
2015-02-25 10:00:00,0,9.0°C,6.0°C,87.00%,18.0 km/h,8.19 μg/m3,402.15ppm,Broken clouds,747
2015-02-25 11:00:00,0,10.0°C,8.0°C,79.00%,16.0 km/h,9.42 μg/m3,409.15ppm,Scattered clouds,726
2015-02-25 12:00:00,0,10.0°C,8.0°C,76.00%,14.0 km/h,7.22 μg/m3,405.33ppm,Scattered clouds,911
2015-02-25 13:00:00,0,10.5°C,9.5°C,69.00%,12.0 km/h,6.46 μg/m3,400.89ppm,Broken clouds,1040
2015-02-25 14:00:00,0,,11.5°C,65.00%,15.0 km/h,3.33 μg/m3,405.73ppm,Broken clouds,898
2015-02-25 15:00:00,0,11.0°C,11.0°C,64.50%,12.0 km/h,7.52 μg/m3,407.25ppm,Broken clouds,988
2015-02-25 16:00:00,0,11.0°C,11.0°C,,6.5 km/h,5.51 μg/m3,404.85ppm,Scattered clouds,1452
2015-02-25 17:00:00,0,11.0°C,,64.50%,4.0 km/h,8.14 μg/m3,408.26ppm,Scattered clouds,2651
2015-02-25 18:00:00,0,11.0°C,11.0°C,64.50%,6.5 km/h,6.06 μg/m3,400.82ppm,Scattered clouds,2424
2015-02-25 19:00:00,0,11.0°C,11.0°C,69.50%,6.5 km/h,8.7 μg/m3,407.27ppm,Scattered clouds,1394
2015-02-25 20:00:00,0,11.0°C,11.0°C,69.50%,8.0 km/h,11.09 μg/m3,404.49ppm,Scattered clouds,899
2015-02-25 21:00:00,0,10.0°C,9.0°C,76.00%,9.0 km/h,12.24 μg/m3,403.2ppm,Cloudy,637
2015-02-25 22:00:00,0,10.0°C,9.0°C,82.00%,8.0 km/h,8.48 μg/m3,406.58ppm,Cloudy,538
2015-02-25 23:00:00,0,10.0°C,8.0°C,82.00%,11.0 km/h,7.98 μg/m3,406.54ppm,Cloudy,342
2015-02-26 0:00:00,0,10.0°C,8.0°C,88.00%,16.0 km/h,6.95 μg/m3,408.03ppm,Broken clouds,143
2015-02-26 1:00:00,0,11.0°C,11.0°C,82.00%,14.0 km/h,6.83 μg/m3,407.93ppm,Cloudy,108
2015-02-26 2:00:00,0,10.0°C,8.0°C,91.00%,,6.62 μg/m3,405.14ppm,Rain,68
2015-02-26 3:00:00,0,10.0°C,8.0°C,94.00%,15.0 km/h,10.22 μg/m3,401.77ppm,Rain,39
2015-02-26 4:00:00,0,10.0°C,,94.00%,13.0 km/h,7.41 μg/m3,401.35ppm,Rain,31
2015-02-26 5:00:00,0,10.0°C,8.0°C,94.00%,15.0 km/h,11.24 μg/m3,401.54ppm,Cloudy,101
2015-02-26 6:00:00,0,10.0°C,8.0°C,94.00%,15.0 km/h,6.61 μg/m3,404.12ppm,Broken clouds,549
2015-02-26 7:00:00,0,10.0°C,8.0°C,94.00%,16.0 km/h,7.79 μg/m3,405.49ppm,Broken clouds,1822
2015-02-26 8:00:00,0,10.0°C,8.0°C,,17.0 km/h,6.1 μg/m3,406.1ppm,Broken clouds,3628
2015-02-26 9:00:00,0,11.0°C,11.0°C,88.00%,21.5 km/h,8.8 μg/m3,406.15ppm,Broken clouds,1793
2015-02-26 10:00:00,0,11.0°C,,,22.0 km/h,7.7 μg/m3,403.35ppm,Rain,662
2015-02-26 11:00:00,0,11.0°C,11.0°C,94.00%,19.0 km/h,7.95 μg/m3,407.74ppm,Rain,269
2015-02-26 12:00:00,0,11.0°C,11.0°C,94.00%,17.0 km/h,7.54 μg/m3,408.21ppm,Rain,274
2015-02-26 13:00:00,0,12.0°C,12.0°C,88.00%,20.0 km/h,8.83 μg/m3,402.97ppm,Rain,297
2015-02-26 14:00:00,0,10.0°C,8.5°C,88.00%,21.5 km/h,9.01 μg/m3,404.78ppm,Rain,371
2015-02-26 15:00:00,0,9.0°C,6.0°C,76.00%,21.5 km/h,9.25 μg/m3,406.36ppm,Broken clouds,680
2015-02-26 16:00:00,0,9.0°C,6.5°C,73.50%,15.0 km/h,6.59 μg/m3,407.91ppm,Scattered clouds,1116
2015-02-26 17:00:00,0,8.5°C,5.5°C,58.00%,,8.48 μg/m3,406.2ppm,Broken clouds,2354
2015-02-26 18:00:00,0,8.0°C,5.0°C,64.00%,16.0 km/h,7.25 μg/m3,403.8ppm,Scattered clouds,2192
2015-02-26 19:00:00,0,7.5°C,4.5°C,64.00%,18.5 km/h,9.99 μg/m3,402.94ppm,Clear,1349
2015-02-26 20:00:00,0,6.5°C,3.5°C,63.50%,16.0 km/h,8.37 μg/m3,402.83ppm,Clear,746
2015-02-26 21:00:00,0,6.0°C,,61.00%,14.0 km/h,8.45 μg/m3,404.48ppm,Clear,617
2015-02-26 22:00:00,0,5.5°C,2.5°C,65.50%,14.0 km/h,7.58 μg/m3,403.97ppm,Clear,465
2015-02-26 23:00:00,0,5.0°C,2.0°C,68.00%,12.0 km/h,6.78 μg/m3,402.43ppm,Clear,362
2015-02-27 0:00:00,0,5.0°C,2.0°C,66.00%,16.0 km/h,8.11 μg/m3,406.43ppm,Clear,169
2015-02-27 1:00:00,0,4.5°C,1.0°C,68.00%,17.0 km/h,9.84 μg/m3,404.3ppm,Clear,122
2015-02-27 2:00:00,0,,1.0°C,75.00%,14.0 km/h,6.85 μg/m3,405.87ppm,Clear,70
2015-02-27 3:00:00,0,4.0°C,0.5°C,75.00%,15.0 km/h,9.98 μg/m3,402.4ppm,Clear,51
2015-02-27 4:00:00,0,3.0°C,-1.0°C,75.00%,16.0 km/h,8.85 μg/m3,407.02ppm,Clear,43
2015-02-27 5:00:00,0,3.0°C,,78.00%,17.0 km/h,4.95 μg/m3,406.66ppm,Clear,81
2015-02-27 6:00:00,0,2.5°C,-1.0°C,81.00%,12.0 km/h,6.63 μg/m3,407.31ppm,Clear,474
2015-02-27 7:00:00,0,3.0°C,0.0°C,81.00%,13.0 km/h,11.43 μg/m3,404.76ppm,Clear,1664
2015-02-27 8:00:00,0,3.5°C,0.5°C,78.00%,14.0 km/h,7.82 μg/m3,404.53ppm,Clear,3398
2015-02-27 9:00:00,0,5.5°C,2.5°C,70.50%,14.0 km/h,6.64 μg/m3,406.25ppm,Clear,1841
2015-02-27 10:00:00,0,6.5°C,3.5°C,63.50%,18.0 km/h,6.69 μg/m3,407.59ppm,Scattered clouds,1046
2015-02-27 11:00:00,0,7.5°C,5.0°C,59.00%,14.0 km/h,7.8 μg/m3,404.95ppm,Scattered clouds,913
2015-02-27 12:00:00,0,8.0°C,5.5°C,,16.0 km/h,9.38 μg/m3,401.87ppm,Scattered clouds,1236
2015-02-27 13:00:00,0,9.0°C,6.5°C,50.00%,17.0 km/h,7.49 μg/m3,404.09ppm,Scattered clouds,1204
2015-02-27 14:00:00,0,,6.5°C,50.00%,17.0 km/h,6.84 μg/m3,407.7ppm,Scattered clouds,1191
2015-02-27 15:00:00,0,9.0°C,6.0°C,46.00%,18.5 km/h,4.6 μg/m3,406.54ppm,Scattered clouds,1309
2015-02-27 16:00:00,0,9.0°C,7.0°C,46.00%,13.0 km/h,6.64 μg/m3,405.62ppm,Scattered clouds,1568
2015-02-27 17:00:00,0,8.0°C,6.0°C,50.00%,12.0 km/h,6.95 μg/m3,404.15ppm,Scattered clouds,2616
2015-02-27 18:00:00,0,8.0°C,6.0°C,53.00%,10.0 km/h,8.48 μg/m3,408.41ppm,Clear,2030
2015-02-27 19:00:00,0,,5.0°C,61.50%,13.0 km/h,8.61 μg/m3,402.93ppm,Clear,1187
2015-02-27 20:00:00,0,,4.5°C,73.50%,12.0 km/h,10.16 μg/m3,405.04ppm,Clear,761
2015-02-27 21:00:00,0,6.0°C,,76.00%,12.0 km/h,6.21 μg/m3,405.96ppm,Clear,504
2015-02-27 22:00:00,0,5.5°C,3.0°C,78.50%,11.0 km/h,8.2 μg/m3,405.86ppm,Clear,462
2015-02-27 23:00:00,0,,2.0°C,81.00%,12.0 km/h,8.24 μg/m3,403.42ppm,Clear,427
2015-02-28 0:00:00,0,6.0°C,3.0°C,78.50%,14.0 km/h,6.5 μg/m3,406.66ppm,Cloudy,375
2015-02-28 1:00:00,0,7.0°C,,76.00%,17.0 km/h,9.37 μg/m3,406.2ppm,Broken clouds,295
2015-02-28 2:00:00,0,7.0°C,4.0°C,78.50%,16.0 km/h,10.56 μg/m3,405.37ppm,Rain,218
2015-02-28 3:00:00,0,7.0°C,4.0°C,76.00%,19.0 km/h,8.04 μg/m3,405.86ppm,Cloudy,170
2015-02-28 4:00:00,0,,4.0°C,76.00%,,7.28 μg/m3,403.93ppm,Cloudy,112
2015-02-28 5:00:00,0,8.0°C,4.5°C,71.00%,22.0 km/h,10.24 μg/m3,408.72ppm,Cloudy,89
2015-02-28 6:00:00,0,7.0°C,3.0°C,84.00%,26.0 km/h,8.66 μg/m3,407.71ppm,Broken clouds,79
2015-02-28 7:00:00,0,7.0°C,3.0°C,87.00%,24.0 km/h,6.18 μg/m3,403.69ppm,Broken clouds,177
2015-02-28 8:00:00,0,7.0°C,4.0°C,93.00%,20.0 km/h,7.71 μg/m3,404.68ppm,Broken clouds,376
2015-02-28 9:00:00,0,8.0°C,5.0°C,87.00%,21.0 km/h,7.46 μg/m3,407.31ppm,Broken clouds,580
2015-02-28 10:00:00,0,9.0°C,6.0°C,82.00%,22.0 km/h,6.73 μg/m3,406.35ppm,Broken clouds,822
2015-02-28 11:00:00,0,9.0°C,6.0°C,87.00%,24.0 km/h,6.8 μg/m3,405.28ppm,Broken clouds,928
2015-02-28 12:00:00,0,9.0°C,6.0°C,87.00%,22.0 km/h,7.0 μg/m3,403.06ppm,Broken clouds,1168
2015-02-28 13:00:00,0,9.0°C,6.0°C,87.00%,24.0 km/h,9.22 μg/m3,403.27ppm,Broken clouds,1224
2015-02-28 14:00:00,0,10.0°C,7.0°C,88.00%,27.0 km/h,7.56 μg/m3,405.21ppm,Broken clouds,1217
2015-02-28 15:00:00,0,10.0°C,,85.00%,26.0 km/h,8.13 μg/m3,408.4ppm,Broken clouds,1152
2015-02-28 16:00:00,0,10.0°C,7.0°C,85.00%,29.0 km/h,9.45 μg/m3,407.4ppm,Cloudy,1193
2015-02-28 17:00:00,0,10.0°C,7.0°C,82.00%,25.0 km/h,7.55 μg/m3,406.32ppm,Broken clouds,1143
2015-02-28 18:00:00,0,10.0°C,7.0°C,82.00%,25.0 km/h,6.2 μg/m3,406.56ppm,Scattered clouds,880
2015-02-28 19:00:00,0,10.0°C,7.0°C,82.00%,27.0 km/h,9.42 μg/m3,400.49ppm,Snow,514
2015-02-28 20:00:00,0,10.0°C,7.0°C,88.00%,23.0 km/h,7.43 μg/m3,405.69ppm,Snow,168
2015-02-28 21:00:00,0,10.0°C,7.0°C,88.00%,28.0 km/h,10.67 μg/m3,405.67ppm,Snow,181
2015-02-28 22:00:00,0,10.5°C,,88.00%,32.0 km/h,9.51 μg/m3,402.13ppm,Cloudy,228
2015-02-28 23:00:00,0,11.0°C,11.0°C,88.00%,25.0 km/h,8.79 μg/m3,409.53ppm,Cloudy,240
2015-03-01 0:00:00,0,11.5°C,11.5°C,85.00%,28.0 km/h,8.34 μg/m3,406.0ppm,Broken clouds,272
